,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
181,Python - AI/ML Engineer,Machine Learning Engineer,Nettyfy Technologies,"Ahmedabad, Gujarat","Strong knowledge of machine learning algorithms, statistical modelling, and data analysis techniques.
Model Deployment: Collaborate with software engineers and…",EmployerActive 2 days ago,"₹15,000 - ₹40,000 a month",2023-08-30,https://in.indeed.com/company/Nettyfy-Technologies/jobs/Python-Developer-510e8c47f2494a8f?fccid=efb80e21b807abe4&vjs=3
182,Report Developer (Remote),Machine Learning Engineer,Pluto7,Remote,"Pluto7 is a tech-enabled solutions and services company that ignites digital transformation providing supply chain solutions across industries such as Retail,…",PostedPosted 21 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a4cc2c1f306c920a&fccid=303b7882c2847d78&vjs=3
183,Machine learning and AI Engineer,Machine Learning Engineer,Megdap Innovation Labs,"Pune, Maharashtra","Strong machine learning background and familiar with standard statistical modeling techniques applied to speech.
Experience with Open source NLP Libraries.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7ef03972075ce893&fccid=18176b7bf7d0b885&vjs=3
184,Generative AI Engineer,Machine Learning Engineer,Siemens Healthineers,"Bengaluru, Karnataka","Model Training and Evaluation: Train and fine-tune a Large Language Model (LLM) for code generation, using appropriate machine-learning frameworks and tools.",PostedPosted 25 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=08b7e8aadf156573&fccid=c5679bf29a1db253&vjs=3
185,Associate,Machine Learning Engineer,PwC,"Mumbai, Maharashtra+2 locations","Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial.
We make impactful decisions by mixing mind and machine to…",PostedPosted 27 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=5d594152894e1ba9&fccid=5e964c4afc56b180&vjs=3
186,Machine Learning Specialist,Machine Learning Engineer,Xena Dx,"Thane District, Maharashtra","Implement and optimize machine learning algorithms for real-time and scalable deployment.
Strong foundation in machine learning (including deep learning)…",EmployerActive 9 days ago,"₹40,000 - ₹1,20,000 a month",2023-08-30,https://in.indeed.com/company/Xena-Dx/jobs/Machine-Specialist-c2e1bf1f95c34c92?fccid=b35c5e13d1f58eba&vjs=3
187,Data Engineer,Machine Learning Engineer,Objectways India Pvt. Ltd,"Pune, Maharashtra","The Data Analytics Engineer role is for an experienced individual who has demonstrated experience in building production-grade data pipelines, Deeper…",EmployerActive 6 days ago,"₹3,00,000 - ₹5,00,000 a year",2023-08-30,https://in.indeed.com/company/Objectways-India-Pvt.-Ltd/jobs/Data-Engineer-1a9d0a1360d39ab4?fccid=a761134c0efa3472&vjs=3
188,Lighthouse Pyspark Data Engineer,Machine Learning Engineer,KPMG,"Bengaluru, Karnataka","As a Pyspark Data Engineer, you will be responsible for designing, implementing, and maintaining data pipelines using Pyspark and other Big Data technologies.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=049ed56be9696c6e&fccid=2dd390c3a48a7ed0&vjs=3
189,Data analysis Trainer,Machine Learning Engineer,Aspirevision tech education pvt. Ltd,"Delhi, Delhi","The ideal candidate should have a strong analytical mindset, exceptional data manipulation skills, and a proven track record of delivering high-impact business…",EmployerActive 10 days ago,"₹5,000 - ₹8,000 a day",2023-08-30,https://in.indeed.com/company/Aspirevision-tech-education-pvt.-Ltd/jobs/Trainer-4bf10729ab9e4ca6?fccid=02f818a9fbd92bcb&vjs=3
190,SDE II - Frontend,Machine Learning Engineer,BigShyft,"Gurgaon, Haryana","Working with Backend, Data Science and DevOps engineers for API implementation and design.
Ownership of key UI modules.
Own front-end build and test systems.",PostedPosted 12 days ago,"₹12,00,000 - ₹32,00,000 a year",2023-08-30,https://in.indeed.com/rc/clk?jk=0512437d54215979&fccid=df4303b9957be85e&vjs=3
