,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
279,Data Analyst,Data Analyst,Creditas Solutions,"Gurgaon, Haryana"," 1+ years in a data analyst role.
Requirements into custom-formatted data reports.
Data that can be used to improve upon them.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c68def4b6be4f911&fccid=a32dd1293e217fc5&vjs=3
280,"Data Analyst (Remote, India Based)",Data Analyst,Arise Virtual Solutions Inc.,Remote,"Perform regular audits to ensure data accuracy and integrity in relation to WFM Department Enterprise Reports, Dashboards, MBR & QBR deck data inputs etc.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=9aa72a86dcedfd65&fccid=39c414df531a71c5&vjs=3
281,Data Analyst,Data Analyst,Rohan Motors Ltd,"Dehra Dun, Uttarakhand","Must have knowledge of Advance Excel.
Job Types: Full-time, Permanent.",EmployerActive 2 days ago,"From ₹20,000 a month",2023-08-30,https://in.indeed.com/company/Rohan-Motors-Ltd/jobs/Data-Analyst-8dbc8e266a7b36ee?fccid=6808660e44ed28e6&vjs=3
282,Data Analyst,Data Analyst,FXSwede,"Remote in New Delhi, Delhi","Proficiency in Excel or Google Sheets for data analysis and visualization.
Experience with data visualization tools such as Tableau or Power BI.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=95d184217891ff50&fccid=04e86d25b6932e36&vjs=3
283,Data Analyst,Data Analyst,Principal Global Services,"Remote in Pune, Maharashtra","Partner with data engineers to define & build data pipelines.
Activities include data aggregation and insight development, analysis of data and presentation.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=4ae23aeedbf2aa9e&fccid=465a5180e479c046&vjs=3
284,Data Analyst,Data Analyst,systems plus,"Pune, Maharashtra","He/she will be involving with data collection, interpretation, find pattern and trends in the data.
Experience with Azure data landscape is a plus point.",PostedPosted 21 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=25a9f8c2acaacf22&fccid=a24a8c8e261b68e0&vjs=3
285,Associate Consultant - Tech Consulting - National - Data & Analytics - New Delhi,Data Analyst,EY,"New Delhi, Delhi","Data Migration (Big Data activities) - Analyze data in existing data warehouse, understand target data model, develop scripts to move data from the existing…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1924a48fd18ed96f&fccid=1544766d4c2915b0&vjs=3
286,"Data Analyst, APAC Centre of Excellence",Data Analyst,Criteo,"Remote in Gurgaon, Haryana","Own and maintain reports/tools in Tableau, Python and other data tools.
At least 4+ years of work experience in business / data analytics role preferably from…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=0d4e0c9703d68339&fccid=d3ee4a7355a0fb60&vjs=3
287,Data Analyst,Data Analyst,BBS,"Gurgaon, Haryana","Experience in data analysis, including data cleaning/preparation, reporting, modeling.
Daily data analysis in online financial business, including data cleaning…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=14161498cfac2426&fccid=f615aae024c71396&vjs=3
288,Data Modeller/Data Analyst,Data Analyst,Deutsche Bank,"Pune, Maharashtra","Extensive experience with data analysis, data flows, data sourcing and publishing concepts.
Create data structure for publishing data to downstream systems.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=0431ce2081f53278&fccid=f1d8e147024abb3f&vjs=3
